published_at,source_id,source_name,title,manual_label,manual_reason,rule_label,rule_score,rule_agrees,summary_excerpt,attachment_count,link_count,url
2026-09-08,undergraduate_education,本科生教育,关于组织参加2026年全国大学生嵌入式芯片与系统设计竞赛FPGA创新设计赛道的通知,keep,面向本科生的竞赛报名,keep,8,True,关于组织参加2026年全国大学生嵌入式芯片与系统设计竞赛FPGA创新设计赛道的通知2026年全国大学生嵌入式芯片与系统设计竞赛芯片——FPGA创新设计赛道报名通知及选题指南已正式发布。FPGA创新设计赛道秉承嵌入式大赛宗旨，旨在提高学生在数字系统设计领域尤其是可编程逻辑器件应用领域的创新实践能力。我校2026年度将继续组织参赛，欢迎全校电子电气类相关专业（电子、电气、计算机、网安、集成电路、自动化、机器人等）全日制学生参加。...,0,2,https://eis.whu.edu.cn/info/1401/62231.htm
2026-09-07,general_notice,综合通知,关于以民主推荐方式选拔电子信息学院内设机构副主任的公告,filter,面向学院教职工的内部干部选拔，不面向本科生,filter,-4,True,全院各单位：经学院党委会研究，决定在全院范围内以民主推荐的方式选拔电子信息学院党政办公室副主任。现将具体事项公告如下：一、岗位电子信息学院党政办公室副主任1名。二、选拔范围在全院范围内产生。三、任职资格要求须符合《武汉大学二级单位内设机构正副职干部选拔任用工作办法》(武大党字〔2021〕103号) 所规定的选拔任用条件。四、工作程序（一）发布选任公告面向全院范围发布民主推荐公告，公布岗位、任职资格、具体要求和选任程序。...,0,1,https://eis.whu.edu.cn/info/1261/62221.htm
2026-09-04,student_activity,学生活动,一年级计划 | 电子信息学院开展2026级研究生新生入学教育,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,9月2日至3日，电子信息学院2026级研究生新生入学教育集中课程学习在于刚宋晓楼举行。本次入学教育围绕理想信念、培养管理、保密与科研诚信、校纪校规、安全防范、心理健康、科研适应等关键环节，先后开展多场专题教育和主题班会，帮助2026级研究生新生尽快熟悉学校学院情况、明确学习要求、平稳开启研途。学院党委副书记王蔡华、学工办老师及全体2026级研究生新生参加。9月2日上午，学院教学管理办公室祁昶老师以“在这里，遇见成长”...,0,0,https://eis.whu.edu.cn/info/1421/62201.htm
2026-09-03,undergraduate_education,本科生教育,珞珈筑擂，群英逐梦——2026 全国大学生电子设计竞赛 TI 杯模拟电子系统设计专题赛在武大圆满落幕,filter,比赛已经结束，正文为活动报道,filter,-3,True,8月23日至27日，2026 全国大学生电子设计竞赛TI杯模拟电子系统设计专题赛在武汉大学成功举办。本次大赛群英荟萃，来自全国26个赛区千余所高校的六万余学子经过初赛层层遴选，最终158支队伍、474 名选手齐聚珞珈山下展开决赛角逐。决赛采用两天一夜全封闭赛制，参赛队伍硬核比拼专业理论功底与工程实践能力，共同呈现了一场高水平、规范化、富有育人温度的赛事盛会。全国大学生电子设计竞赛是国内电子信息类学科规模最大、含金量最高的本科生学科竞赛，...,0,0,https://eis.whu.edu.cn/info/1371/62151.htm
2026-09-03,student_activity,学生活动,一年级计划 | 以芯向新 电信新芯——武汉大学电子信息学院2026级研究生新生见面会,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,金秋送爽，研途新启。为帮助2026级硕博研究生新生快速融入学院氛围、明晰科研成长方向、筑牢求学奋进根基，2026年9月2日14:30，电子信息学院2026级研究生新生见面会于刚·宋晓楼七楼智莱报告厅隆重举行。学院领导班子、各系（中心）负责人、研究生导师代表、各行政办公室负责人、研究生辅导员齐聚现场，与全体2026级硕博新生如约相聚，共赴研途新征程。本次大会由党委副书记王蔡华主持。大会伊始，全体师生齐声奏唱中华人民共和国国歌。...,0,0,https://eis.whu.edu.cn/info/1421/62171.htm
2026-09-03,youth_league,共青团工作,关于增补共青团武汉大学电子信息学院委员会组织部工作人员的通知,filter,正文明确招募对象为全日制在籍研究生,filter,3,True,各团支部：根据共青团中央、教育部《高校共青团改革实施方案》和学校党委《关于加强和改进新形势下共青团工作的实施意见》的相关要求，结合学院团委实际工作需要，现公开招募增补院团委组织部工作人员。具体通知如下：一、增补岗位院团委组织部工作人员若干名（含负责人1-2名）。二、增补条件1.武汉大学电子信息学院全日制在籍研究生，政治面貌为共青团员或中共党员（含预备党员）；2.政治素质过硬，具有坚定正确的政治方向和良好的政治素质，...,1,0,https://eis.whu.edu.cn/info/1441/61941.htm
2026-09-02,undergraduate_education,本科生教育,关于启动电子信息学院2027届推荐免试研究生工作的通知,keep,本科生推免申请与材料提交,keep,12,True,电子信息学院2027届全体本科生：为了保证推免工作按时顺利推进，根据推免工作的日程安排，现启动推免申请和材料收集工作。请有意申请的同学，根据《武汉大学电子信息学院推荐优秀应届本科毕业生免试攻读硕士学位研究生工作细则》（2026年4月修订）的要求准备材料（https://eis.whu.edu.cn/info/1921/21331.htm）。请将本人申请表及相关证明整理装袋后于2026年9月7日15:00-17:00交至于刚·宋晓楼B603会议室。一、学习成绩核对1、前三学年课,6,1,https://eis.whu.edu.cn/info/1361/61921.htm
2026-09-02,student_activity,学生活动,一年级计划 | 家校协同育人 共筑成长桥梁 ——学院举办2026级本科新生家长见面会,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,8月31日下午，电子信息学院2026级本科新生家长见面会在于刚·宋晓楼七楼报告厅举行。学院党委书记李德识，院长郑国兴，党委副书记李海波，副院长万显荣，教学管理办公室和学生工作办公室相关老师、新生家长参加会议。见面会由学院党委副书记李海波主持。郑国兴院长首先代表学院致辞，从学院发展历程、学科专业布局、师资队伍建设，与企业、国外知名大学的合作等方面介绍了学院整体情况，帮助家长深入了解学院的办学底蕴与人才培养特色、...,0,0,https://eis.whu.edu.cn/info/1421/61811.htm
2026-09-02,student_notice,学工通知,电子信息学院关于2026-2027学年第一学期学生报到注册的通知,keep,全体学生必须完成的报到注册事务,keep,3,True,全体学生：根据学校有关规定和要求，为做好我院学生2026-2027学年第一学期报到注册工作，现将有关事项通知如下：1.学生于2026年9月6日（周日）携带校园卡和学生证前往指定地点报到注册，9月7日（周一）正式上课。本科生报到注册：地点：于刚宋晓楼A712报告厅时间：14:30-17:30研究生报到注册：地点：于刚宋晓楼B603会议室时间：14:30-17:302.学生报到注册前须按要求缴费，可通过登录校园统一支付平台（http://zfpt.whu.edu.cn/caslo,0,3,https://eis.whu.edu.cn/info/1411/61911.htm
2026-09-01,student_activity,学生活动,一年级计划 | “芯”潮澎湃，“电”亮新程——武汉大学电子信息学院2026年本科生迎新圆满落幕,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,金秋时节，丹桂飘香，珞珈山再次迎来了朝气蓬勃的新主人。8月31日，武汉大学电子信息学院2026级本科新生怀揣着对大学生活的憧憬与期待，陆续踏入校园，正式开启在电子信息领域的逐梦新征程。为扎实做好2026年本科生迎新工作，电子信息学院党委高度重视、提前谋划，专门成立迎新工作专班，制定专项工作方案，明确职责分工，统筹推进各项准备工作。学院团委学生会精心筹备，从设计迎新大礼包、定制创意文创产品，到组织搬运行李、指引路线等志愿服务，...,0,0,https://eis.whu.edu.cn/info/1421/61801.htm
2026-08-31,student_activity,学生活动,一年级计划 | “育”见新程，携手同行——电子信息学院2026级本科生班主任聘任仪式暨协同育人工作交流会顺利举行,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,为深入贯彻立德树人根本任务，扎实推进“一年级计划”，8月30日下午，我院2026级本科生班主任聘任仪式暨协同育人工作交流会在于刚·宋晓楼B606会议室举行。学院党委书记李德识、院长郑国兴、党委副书记李海波、副院长万显荣等院领导，2026级全体本科生班主任、助理班主任、教学办和学工办相关老师参加会议，会议由党委副书记李海波主持。院长郑国兴向受聘的班主任、助理班主任表示祝贺。他指出，班主任是落实立德树人根本任务、推进“...,0,0,https://eis.whu.edu.cn/info/1421/61791.htm
2026-08-28,undergraduate_education,本科生教育,从“芯”出发，硕果盈枝：我院学子在集创赛中斩获13项国家级奖项,filter,既有竞赛获奖宣传，无新报名动作,filter,-3,True,第十届全国大学生集成电路创新创业大赛（以下简称“集创赛”）全国总决赛在上海、无锡两地落幕。电子信息学院学子奋勇拼搏、再创佳绩，共斩获国家奖项13项，其中国家一等奖1项、国家二等奖7项、国家三等奖5项，为学校赢得荣誉，我校再度荣获“优秀组织奖”。 本届集创赛以“集十年匠心、创芯辰大海”为主题，吸引了全国8800余支团队参赛，覆盖575所高校，参赛学生总数超过25000人。赛事旨在培养学生在集成电路领域的创新思维与实践能力，...,0,0,https://eis.whu.edu.cn/info/1371/61721.htm
2026-08-28,student_activity,学生活动,访企拓岗|三线探产业，研学促成长——“校园大使走进吴江开发区”暑期研学活动顺利开展,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,为深化产教融合协同育人机制，精准对接产业人才需求，助力学生明晰行业发展方向、提升职业素养，8月9日至15日，武汉大学电子信息学院率校园大使团队赴苏州市吴江经济技术开发区，参加第十一届“全国校园大使走进吴江开发区”主题活动。本次活动以“盛夏追光，‘青’舟启航”为主题，通过企业实地参访、产业深度研学、城市文化体验、成果交流汇报等多元形式，引导青年学子走出课堂、走进产业一线，全方位感受吴江开发区的创新活力与人文底蕴。...,0,0,https://eis.whu.edu.cn/info/1421/61781.htm
2026-08-28,academic_lecture,学术讲座,学术讲座公告---On-Chip Functional Meta-Devices Enabled by Nanophotonic Cavities,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,"报告时间：2026年9月2日（周三）早上10:30报告地点：武汉大学电子信息学院（于刚宋晓楼）B603会议室报告题目：On-Chip Functional Meta-Devices Enabled by Nanophotonic Cavities报告人：董兆冈 教授邀请人：梁国镇 教授报告主题简介：The multi-dimensional degrees of freedom of light, including spectral, polarization, phase",0,0,https://eis.whu.edu.cn/info/2471/61891.htm
2026-08-27,undergraduate_education,本科生教育,赋能前沿产业，2026年“瑞萨杯”信息科技前沿专题赛电信学子再创佳绩！,filter,既有竞赛获奖宣传，无新报名动作,filter,0,True,8月20日至22日，2026年全国大学生电子设计竞赛信息科技前沿专题赛（瑞萨杯）全国总决赛在吉林长春举行，来自全国各个高校的169支决赛队伍同台竞技，共评选出一等奖14项，二等奖27项，三等奖61项。武汉大学共组建三支代表队参赛，其中一支获赛区三等奖，另外两支凭借在赛区的优秀表现晋级全国总决赛并最终荣获全国一等奖、二等奖各一项。“瑞萨杯”信息科技前沿专题赛是全国大学生电子设计竞赛三大邀请制精英赛事之一，旨在培养大学生的创新精神和实践能力，...,0,0,https://eis.whu.edu.cn/info/1371/61711.htm
2026-08-26,academic_lecture,学术讲座,学术讲座公告---Advanced Methods in Regional Speech Enhancement and Far-to-Near-Field Transformation,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告题目：Advanced Methods in Regional Speech Enhancement and Far-to-Near-Field Transformation报告人: 于蒙 博士（腾讯混元大模型部门）邀请人: 黄公平 教授报告时间: 2026/8/27（周四）下午15:00报告地点: 武汉大学电子信息学院 于刚·宋晓楼 A603会议室 报告简介：Enhancing speech signals in complex acoustic environment,0,0,https://eis.whu.edu.cn/info/2471/61881.htm
2026-08-21,student_activity,学生活动,​第九届中国研究生创“芯”大赛落幕，我院研究生荣获佳绩,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,8月13日至16日，由教育部学位管理与研究生教育司指导，中国学位与研究生教育学会主办的“华为杯”第九届中国研究生创“芯”大赛全国总决赛在深圳南方科技大学举行。武汉大学师生团结协作，奋力拼搏，经过答题、答辩与路演等环节的激烈角逐后，我院研究生队伍荣获全国三等奖，并兼获华为企业命题二等奖。 由学院郭南、王磊、杨琮昭三名研究生组成，张健教授担任指导老师的团队，针对20—40 GHz超宽带低噪声放大器匹配网络设计维度高、...,0,0,https://eis.whu.edu.cn/info/1421/61771.htm
2026-08-18,student_activity,学生活动,第二十一届中国研究生电子设计竞赛落幕，我院研究生荣获佳绩,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,8月14日，第二十届中国研究生电子设计竞赛全国总决赛在浙江乌镇圆满落幕。我院 “天天快乐牛马熊队”获全国一等奖、“灵境行者““维镜智建”两支队伍获全国三等奖，马跃、李子乐老师获评“优秀指导教师”称号，充分展示了学院研究生在电子设计与科技创新方面的扎实功底与卓越能力。“天天快乐牛马熊队” 由我院研究生张必一、于文博、张浩楠组成，指导教师为马跃教授、李子乐研究员。面向极弱回波探测与复杂目标感知需求，团队融合单光子探测与偏振调控超表面技术，...,0,0,https://eis.whu.edu.cn/info/1421/61761.htm
2026-08-13,student_activity,学生活动,“芯”系蓉城，科创报国 | 科技自立自强视域下成都电子信息产业自主创新路径调研——武汉大学电子信息学院实践队赴成都开展暑期调研,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,为引导学生在科技创新一线深化认知、锤炼本领，在武汉大学2026年“青年实干家计划”和“科技自立自强”专项支持下，武汉大学电子信息学院组织“‘芯’系蓉城，科创报国——电子信息学院赴成都电子信息产业调研实践队”，于7月20日至24日赴四川成都开展暑期调研。团队由11名学生和2名带队教师组成，围绕“科技自立自强视域下成都电子信息产业自主创新路径调研”主题，先后走进中电九天、中国电科十所、中国科学院光电所、成都华微电子、...,0,0,https://eis.whu.edu.cn/info/1421/64631.htm
2026-08-11,student_activity,学生活动,寻迹红色电波，淬炼初心使命——武汉大学电子信息学院“红色电波”实践队赴江西开展研学实践,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,为深入学习领会习近平党建思想，推动党史学习教育与专业育人深度融合，在中国共产党成立105周年、红军长征胜利90周年、人民军队无线电通信事业诞生95周年的重要节点，武汉大学电子信息学院“红色电波”研学实践队于7月20日至24日沿着总书记的足迹，赴江西吉安、宁都、于都、南昌等地，开展为期五天的沉浸式知行研学。实践队以“寻根・解码・铸魂”为主线，立足电子信息学科特色，溯源红色通信发展脉络、走访信息产业一线，在历史与现实的跨时空对话中涵养专业精神、...,0,0,https://eis.whu.edu.cn/info/1421/61751.htm
2026-08-06,undergraduate_education,本科生教育,克难笃行，“AI”之路再奋进 —— 我院学子征战2026英特尔杯AI专题赛再获多项国奖,filter,既有竞赛获奖宣传，无新报名动作,filter,-3,True,2026年英特尔杯全国大学生电子设计竞赛AI专题邀请赛全国总决赛于7月23日在上海交通大学圆满收官。本届赛事由原嵌入式系统专题邀请赛更名升级，聚焦人工智能产业落地应用赛道，竞赛技术门槛、参赛高校覆盖面均实现全面提升，来自海内外120余所高校的230余支精英队伍同台竞技，赛事含金量与竞争强度同步走高。我院共派出4支队伍参赛，整体表现稳定，其中3支队伍斩获国家级奖项，收获全国二等奖1项、全国三等奖2项，另有1支队伍获评成功参赛奖。...,0,0,https://eis.whu.edu.cn/info/1371/61701.htm
2026-08-03,student_notice,学工通知,【志愿服务】2026年全国大学生电子设计竞赛模拟电子系统设计专题赛志愿者招募通知,keep,面向学生的志愿者招募,keep,7,True,2026年全国大学生电子设计竞赛模拟电子系统设计专题赛将于8月底在武汉大学举行。本次比赛由全国大学生电子设计竞赛组委会主办，武汉大学、东南大学承办。现面向全体在校学生公开招募志愿者，在这里，你将获得：国家级赛事履历：深度参与全国性赛事筹备运行，近距离接触科创赛事一线，丰富实践经历；双重时长认证：根据实际工作时长可获得相应劳动教育时长（专项实践锻炼版块）及志愿服务时长（实际工作时长=劳动教育时长+志愿服务时长）...,0,1,https://eis.whu.edu.cn/info/1411/61831.htm
2026-07-20,student_notice,学工通知,关于选聘电子信息学院2026级本科新生助理班主任的通知,keep,学生可申请的助理班主任岗位,keep,3,True,为落实“以学生为本”的教育理念，切实加强我院2026级本科新生思想政治引领和日常教育管理工作，引导新生尽快适应大学生活、明确发展方向、树立远大理想，更好地在大学实现全面发展，学院决定选聘品学兼优，“有热心、勇担当、甘奉献”的学生担任2026级本科新生助理班主任。现将有关事项通知如下：一、选聘范围具有武汉大学电子信息学院学习经历的优秀在读本科生、研究生和将于2026年秋季学期入学的研究生。二、选聘人数预计15-30名，...,1,0,https://eis.whu.edu.cn/info/1411/61841.htm
2026-07-17,study_abroad_notice,留学通知,关于申报2026年下半年本科生全球胜任力培养资助计划的通知,keep,本科生国际交流资助申请,keep,8,True,,4,0,https://oir.whu.edu.cn/info/1121/45601.htm
2026-07-17,study_abroad_notice,留学通知,关于开展2026年研究生出国（境）交流学习资助工作的通知,filter,明确仅面向研究生,filter,7,True,,0,0,https://gs.whu.edu.cn/system/resource/visitcode/visitcode.jsp?backUrl=aHR0cDovL2dzLndodS5lZHUuY24vY29udGVudC5qc3A/dXJsdHlwZT1uZXdzLk5ld3NDb250ZW50VXJsJndidHJlZWlkPTEwNjMmd2JuZXdzaWQ9MTA4MjEx
2026-07-16,academic_lecture,学术讲座,学术讲座公告---大语言模型时代下的部分伪造音频,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告时间：2026年7月17日（周五）上午10：30报告地点：武汉大学电子信息学院于刚·宋晓楼B603会议室报告题目：大语言模型时代下的部分伪造音频报告人：张琳 博士（Johns Hopkins University）邀请人：黄公平 教...,0,0,https://eis.whu.edu.cn/info/2471/54081.htm
2026-07-14,academic_lecture,学术讲座,​学术讲座公告---高效听觉分离与增强,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告时间：2026年7月15日（周三）上午10：00报告地点：武汉大学电子信息学院于刚·宋晓楼B603会议室报告题目：高效听觉分离与增强报告人：李凯 博士（清华大学）邀请人：黄公平 教授 报告摘要：围绕“高效听觉分...,0,0,https://eis.whu.edu.cn/info/2471/54071.htm
2026-07-14,academic_lecture,学术讲座,​学术讲座公告---从语音理解与生成，迈向语音交互,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告时间：2026年7月17日（周五）上午10：00报告地点：武汉大学电子信息学院于刚·宋晓楼B603会议室报告题目：从语音理解与生成，迈向语音交互报 告 人：陈谐 副教授（上海交通大学计算机学院）邀请人：黄公平 教授报...,0,0,https://eis.whu.edu.cn/info/2471/54061.htm
2026-07-08,student_notice,学工通知,电子信息学院关于2026年学生放暑假及相关事项的通知,keep,重要本科生假期与离校事务,keep,3,True,全院学生： 根据校历安排和学校《关于2026年放暑假及做好暑期相关工作的通知》的要求，现将2026年学生放暑假及相关事项通知如下： 一、时间安排 根据校历，2026年7月5日至7月18日为2025-2026学年第三学期，2026年7月...,0,0,https://eis.whu.edu.cn/info/1411/8401.htm
2026-07-07,student_activity,学生活动,共青团武汉大学电子信息学院第二十次代表大会顺利召开,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,2026年7月6日，共青团武汉大学电子信息学院第二十次代表大会于于刚·宋晓楼A712报告厅顺利召开。校团委副书记迟宗宝、院党委书记李德识、院党委副书记李海波、院党委副书记王蔡华，教学管理办公室主任隋竹翠、学生工作...,0,0,https://eis.whu.edu.cn/info/1421/14081.htm
2026-07-06,academic_lecture,学术讲座,学术讲座公告---光子晶体面发射激光（PCSEL）技术,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告时间：2026年7月8日（周三）早上9:30报告地点：武汉大学电子信息学院（于刚宋晓楼）B603会议室报告题目：光子晶体面发射激光(PCSEL)技术报告人： 佟存柱 教授邀请人：曾永全 教授报告主题简介：光子...,0,0,https://eis.whu.edu.cn/info/2471/54051.htm
2026-07-03,student_activity,学生活动,珞珈职航 | 探访西部芯谷科创高地，洞察电子信息数智未来 —— 武汉大学电子信息学院师生赴成都开展暑期实践活动,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,为帮助同学们深入了解电子信息产业前沿发展，明晰专业学习与职业发展的衔接路径，搭建校企、校所协同育人桥梁，在武汉大学学生就业指导与服务中心“珞珈职航”项目支持下，7月20日至24日，武汉大学电子信息学院党委副书记王蔡华、研究生辅导员谢林君带领实践队前往四川成都，开展“探访西部芯谷科创高地，洞察电子信息数智未来”暑期就业实习实践活动。成都因“芯”而强、因“屏”而兴，已形成集成电路、新型显示、软件信息、智能终端等多元协同的电子信息产业生态。...,0,0,https://eis.whu.edu.cn/info/1421/61741.htm
2026-07-03,academic_lecture,学术讲座,学术讲座公告---面向低轨卫星定位的厘米级发射标签设计与实现,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告时间：2026年7月6日 上午10:00报告地点：武汉大学电子信息学院（于刚·宋晓楼）B606会议室报告人：王云帆 密歇根集成电路实验室 博士后研究员邀请人：张健 教授 报告摘要：面向低轨卫星...,0,0,https://eis.whu.edu.cn/info/2471/54041.htm
2026-06-30,student_notice,学工通知,关于选聘电子信息学院2026级本科新生班主任的通知,filter,正文选聘范围仅为学院教师,filter,3,True,为深入贯彻党的二十大及二十届历次全会精神、习近平总书记关于教育和高校思想政治工作的重要论述，全面落实《教育强国建设规划纲要》及教育部高校思想政治工作相关文件要求，立足立德树人根本任务，深化“三全育人”...,1,0,https://eis.whu.edu.cn/info/1411/8391.htm
